Usage_Frequency,Last_Activity,Customer_Satisfaction,Billing_Amount,Service_Uptime,Data_Usage,Support_Contacts,Contract_Length,Age,Region,Churn
0.278988733675961,283,3,61.012591720968175,0.9621196867139773,31.431424709174905,6,3,54,Southern,0
0.16692728742822105,280,5,171.6667046766164,0.9679877419765504,8.871016249109974,1,2,27,Central,0
0.6670731200289343,108,4,308.6033968168268,0.9712319484668185,9.48689906076029,1,21,24,Eastern,1
0.9589126523760506,354,1,455.8603409060559,0.9132159872789111,5.069087298895569,8,1,53,Western,0
0.6399178982509802,3,5,275.51109062994266,0.9685986592024776,42.84222177930367,10,8,21,Western,1
0.02282175579029533,107,1,239.33000905116444,0.9755102328194448,48.19505093508959,5,7,54,Southern,0
0.35079280355911935,94,5,321.0109751226003,0.964443623848188,4.0078563755391095,6,23,56,Northern,0
0.16646122652870665,285,5,198.93916229658893,0.9523229099639121,7.617396061356885,7,2,22,Northern,1
0.6401686301376048,165,5,67.25853153808065,0.9362658958163887,37.09449083401417,0,20,25,Central,0
0.12207371430423697,106,3,231.29411738408373,0.9444825675904853,15.458442929550277,6,3,37,Central,1
0.40581511373701085,311,5,300.97432767551845,0.949536439107663,6.116178833487079,6,13,36,Eastern,1
0.38980761657874763,307,5,211.5500984207531,0.9205402483166882,33.1906146565972,8,1,56,Central,0
0.19406669895160567,35,1,380.8000881879028,0.9520192759147281,8.51905975908947,8,1,55,Central,0
0.1984616266744973,64,2,283.74229708286646,0.90191629013961,17.261606701878883,9,12,49,Eastern,0
0.9755026105345754,257,5,305.10915978354603,0.989717258612314,12.695423672439116,2,12,28,Central,1
0.24726977852195886,108,5,164.8017951294862,0.9071262767726683,17.68604399012002,4,14,44,Eastern,0
0.09580740566802737,84,4,450.5249967850904,0.9449030327663609,9.955941343624081,1,11,23,Eastern,1
0.31504391588783176,17,1,413.4337024270259,0.9855836452238261,10.955262937982457,7,24,26,Eastern,1
0.4841937423170979,277,1,62.92891654995614,0.988595339659046,40.21706364235491,10,1,55,Central,1
0.8700592515743656,309,5,284.2094211557968,0.9644652120258214,41.64312700683403,5,6,52,Southern,0
0.9459638940128552,94,3,231.52642262746215,0.9390845678081424,41.302664452578036,0,13,52,Southern,0
0.32541837845641575,107,4,327.2007095746011,0.9401064819436622,3.642325618413417,9,18,44,Northern,1
0.5069496138489091,180,4,411.27567873039953,0.9048372479856569,36.498806440546,3,10,61,Northern,1
